Metric Type,Ticker,Strategy Type,Short Window,Long Window,Signal Window,Signal Entry,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Alpha,Beta,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Total Period
Most Total Return [%],TRX-USD,SMA,16,50,0,false,1,179,0.5230329782067898,42.69662921348314,1.9547204488607988,0.8942204449998248,3.299108018046434,0.12971386783186578,2 days 06:30:20.224719100,0.24517906336088155,7.3966942148760335,14.75206611570248,6.614275192354076,0,17424,726 days 01:00:00,1000.0,3870.5762623474857,287.05762623474857,254.09763871064658,100.0,745.1553360819198,26.202359311868754,172 days 23:00:00,178,-2.9316547250004987,67.37808884817485,-7.437064788878006,3.884196112786631,-1.333604562370736,3 days 15:07:06.315789473,1 days 06:12:21.176470588,16.143302904901603,1.9510315693375289,3.719702213413052,1.1244360128515054,12.323319341552578,560.0094318149285,0.999355401330177,0.4290986631673911,-0.0037589344198042537,None,None,0.00008591329358495358,0.5196035996017992,2.8705762623475017,0.5995933284192831,0.32051917495768056,726.0
Most Profit Factor,TRX-USD,SMA,16,50,0,false,1,179,0.5230329782067898,42.69662921348314,1.9547204488607988,0.8942204449998248,3.299108018046434,0.12971386783186578,2 days 06:30:20.224719100,0.24517906336088155,7.3966942148760335,14.75206611570248,6.614275192354076,0,17424,726 days 01:00:00,1000.0,3870.5762623474857,287.05762623474857,254.09763871064658,100.0,745.1553360819198,26.202359311868754,172 days 23:00:00,178,-2.9316547250004987,67.37808884817485,-7.437064788878006,3.884196112786631,-1.333604562370736,3 days 15:07:06.315789473,1 days 06:12:21.176470588,16.143302904901603,1.9510315693375289,3.719702213413052,1.1244360128515054,12.323319341552578,560.0094318149285,0.999355401330177,0.4290986631673911,-0.0037589344198042537,None,None,0.00008591329358495358,0.5196035996017992,2.8705762623475017,0.5995933284192831,0.32051917495768056,726.0
Most Sharpe Ratio,TRX-USD,SMA,16,50,0,false,1,179,0.5230329782067898,42.69662921348314,1.9547204488607988,0.8942204449998248,3.299108018046434,0.12971386783186578,2 days 06:30:20.224719100,0.24517906336088155,7.3966942148760335,14.75206611570248,6.614275192354076,0,17424,726 days 01:00:00,1000.0,3870.5762623474857,287.05762623474857,254.09763871064658,100.0,745.1553360819198,26.202359311868754,172 days 23:00:00,178,-2.9316547250004987,67.37808884817485,-7.437064788878006,3.884196112786631,-1.333604562370736,3 days 15:07:06.315789473,1 days 06:12:21.176470588,16.143302904901603,1.9510315693375289,3.719702213413052,1.1244360128515054,12.323319341552578,560.0094318149285,0.999355401330177,0.4290986631673911,-0.0037589344198042537,None,None,0.00008591329358495358,0.5196035996017992,2.8705762623475017,0.5995933284192831,0.32051917495768056,726.0
Most Calmar Ratio,TRX-USD,SMA,16,50,0,false,1,179,0.5230329782067898,42.69662921348314,1.9547204488607988,0.8942204449998248,3.299108018046434,0.12971386783186578,2 days 06:30:20.224719100,0.24517906336088155,7.3966942148760335,14.75206611570248,6.614275192354076,0,17424,726 days 01:00:00,1000.0,3870.5762623474857,287.05762623474857,254.09763871064658,100.0,745.1553360819198,26.202359311868754,172 days 23:00:00,178,-2.9316547250004987,67.37808884817485,-7.437064788878006,3.884196112786631,-1.333604562370736,3 days 15:07:06.315789473,1 days 06:12:21.176470588,16.143302904901603,1.9510315693375289,3.719702213413052,1.1244360128515054,12.323319341552578,560.0094318149285,0.999355401330177,0.4290986631673911,-0.0037589344198042537,None,None,0.00008591329358495358,0.5196035996017992,2.8705762623475017,0.5995933284192831,0.32051917495768056,726.0
Most Omega Ratio,TRX-USD,SMA,16,50,0,false,1,179,0.5230329782067898,42.69662921348314,1.9547204488607988,0.8942204449998248,3.299108018046434,0.12971386783186578,2 days 06:30:20.224719100,0.24517906336088155,7.3966942148760335,14.75206611570248,6.614275192354076,0,17424,726 days 01:00:00,1000.0,3870.5762623474857,287.05762623474857,254.09763871064658,100.0,745.1553360819198,26.202359311868754,172 days 23:00:00,178,-2.9316547250004987,67.37808884817485,-7.437064788878006,3.884196112786631,-1.333604562370736,3 days 15:07:06.315789473,1 days 06:12:21.176470588,16.143302904901603,1.9510315693375289,3.719702213413052,1.1244360128515054,12.323319341552578,560.0094318149285,0.999355401330177,0.4290986631673911,-0.0037589344198042537,None,None,0.00008591329358495358,0.5196035996017992,2.8705762623475017,0.5995933284192831,0.32051917495768056,726.0
Most Sortino Ratio,TRX-USD,SMA,16,50,0,false,1,179,0.5230329782067898,42.69662921348314,1.9547204488607988,0.8942204449998248,3.299108018046434,0.12971386783186578,2 days 06:30:20.224719100,0.24517906336088155,7.3966942148760335,14.75206611570248,6.614275192354076,0,17424,726 days 01:00:00,1000.0,3870.5762623474857,287.05762623474857,254.09763871064658,100.0,745.1553360819198,26.202359311868754,172 days 23:00:00,178,-2.9316547250004987,67.37808884817485,-7.437064788878006,3.884196112786631,-1.333604562370736,3 days 15:07:06.315789473,1 days 06:12:21.176470588,16.143302904901603,1.9510315693375289,3.719702213413052,1.1244360128515054,12.323319341552578,560.0094318149285,0.999355401330177,0.4290986631673911,-0.0037589344198042537,None,None,0.00008591329358495358,0.5196035996017992,2.8705762623475017,0.5995933284192831,0.32051917495768056,726.0
Most Expectancy,TRX-USD,SMA,15,59,0,false,1,157,0.49820248359536623,44.871794871794876,1.9059657536801085,0.9690836317685597,3.159222867506474,0.06101084655250258,2 days 14:18:50.769230768,0.21487603305785125,6.487603305785124,12.933884297520661,6.287030173043962,0,17424,726 days 01:00:00,1000.0,3696.0035075537508,269.6003507553751,254.09763871064658,100.0,625.5123458092819,32.40516237540164,134 days 12:00:00,156,15.872149315769548,59.23019518142697,-7.20365044003604,4.0544358136498415,-1.5422495395301579,4 days 02:57:25.714285714,1 days 08:29:18.139534883,17.180329219474228,1.885956736431645,2.8679454746392374,1.1197886173842713,12.10177283516423,552.5147459277013,0.9873588456463843,0.4313290619352718,-0.0038017071510247935,None,None,0.00008332334459758116,0.5039395881261708,2.696003507553756,0.5741743107548445,0.3215828743446931,726.0
Mean Total Trades,TRX-USD,SMA,17,49,0,true,1,184,0.4502920683205863,43.169398907103826,1.8320360523849886,0.8288786729173074,3.130702044325337,0.0321371911756827,2 days 04:56:03.934426228,0.25206611570247933,7.603305785123967,15.165289256198347,6.30221800895804,0,17424,726 days 01:00:00,1000.0,3622.636231031802,262.2636231031802,254.09763871064658,100.0,750.0138118918634,30.491312173577693,173 days 03:00:00,183,-3.622636231031265,65.15832735334503,-7.203650440036036,3.7164587585860733,-1.3645715844656978,3 days 11:35:41.772151898,1 days 05:38:39.230769230,14.351141351163022,1.861877472224935,2.9844982054328733,1.1187212456176259,12.204247097190835,555.9725228595515,0.9963711534422439,0.42781055391674855,-0.003755751319488757,None,None,0.00008214830266123706,0.4968329344951617,2.622636231031808,0.5632574415344507,0.3211481626167569,726.0
Median Total Trades,TRX-USD,SMA,16,58,0,false,1,158,0.41902551820534606,41.40127388535032,1.850500647278129,0.9588084644090695,3.0844757882254807,0.010440845310724325,2 days 13:48:32.101910826,0.2162534435261708,6.528925619834711,13.016528925619834,6.259989147794752,0,17424,726 days 01:00:00,1000.0,3567.5063285024476,256.75063285024476,254.09763871064658,100.0,616.0620651358969,32.689073442629365,173 days 01:00:00,157,-5.718689482031095,64.42398018554142,-7.203650440036021,4.452200889071306,-1.5093492269283801,4 days 05:59:04.615384615,1 days 09:25:26.086956521,16.389968267417075,1.8382723912891923,2.738971064147462,1.1168861317173258,12.094937972358665,550.1596450388774,0.9892054001617968,0.4289814662948991,-0.003795639761040637,None,None,0.00008131169752069474,0.49177314660516175,2.5675063285024367,0.5549588871197535,0.32195939859557166,726.0
Least Max Drawdown Duration,TRX-USD,SMA,42,56,0,false,1,183,0.3984593666320763,52.197802197802204,1.6384148120450202,0.7255940472272985,2.7384862092789777,-0.1707314338156153,2 days 04:42:31.648351646,0.25068870523415976,7.56198347107438,15.082644628099175,5.486930191842794,0,17424,726 days 01:00:00,1000.0,3107.151845244157,210.7151845244157,254.09763871064658,100.0,626.8865824765167,36.80106652280597,126 days 22:00:00,182,101.86749739059587,60.052780515225145,-9.383037017900005,2.9750864808474136,-1.7307482653463908,3 days 00:30:56.842105263,1 days 07:04:49.655172413,11.01804586732726,1.647822216758263,2.0873511861174747,1.1038109284810151,11.744597183594891,531.1458790361793,0.9840538354682106,0.42302980808493273,-0.0038481136953074043,None,None,0.0000735364009518718,0.4447481529569206,2.107151845244179,0.4821524296005566,0.32482538437376274,726.0
