Ticker,Allocation [%],Strategy Type,Short Window,Long Window,Signal Window,Stop Loss [%],Signal Entry,Signal Exit,Total Open Trades,Total Trades,Score,Win Rate [%],Profit Factor,Expectancy per Trade,Sortino Ratio,Beats BNH [%],Avg Trade Duration,Trades Per Day,Trades per Month,Signals per Month,Expectancy per Month,Start,End,Period,Start Value,End Value,Total Return [%],Benchmark Return [%],Max Gross Exposure [%],Total Fees Paid,Max Drawdown [%],Max Drawdown Duration,Total Closed Trades,Open Trade PnL,Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Skew,Kurtosis,Tail Ratio,Common Sense Ratio,Value at Risk,Daily Returns,Annual Returns,Cumulative Returns,Annualized Return,Annualized Volatility,Signal Count,Position Count,Total Period,Metric Type
PGR,,SMA,37,61,0,,true,false,1,98,1.585146925488864,63.91752577319587,3.288814225703109,7.415192152548036,1.191196197991885,-0.9515138155505052,74 days 01:29:04.329896906,0.0058771270744799,0.1806055287406757,0.3593681439227731,1.3392246994246475,0,11395,11396 days 00:00:00,1000.0,245243.76841846007,24424.37684184601,503738.8922052093,100.0,9384.950728668917,49.12293411965128,2838 days 00:00:00,97,-245.2437684184406,99.16774301664648,-22.236741433856587,15.586280852590118,-7.059307830383648,90 days 11:36:46.451612903,44 days 23:18:51.428571428,2520.5052802770983,0.8123281504465032,0.3923073683582639,1.1793847961621269,-0.1791124284725248,27.03046422527202,1.075171181485373,1.0969274627811212,-0.0180001380507128,0.0005745909352118,0.1447969156733929,244.24376841845807,0.1293829655319414,0.2145230531431348,7185,194,16504.6626984127,"Most Profit Factor, Mean Avg Losing Trade [%]"
MSFT,,SMA,60,85,0,,true,false,1,63,1.5689858472242963,61.29032258064516,3.0553549630851595,13.628219959490275,1.1884107653536746,-0.9467510299206866,104 days 17:48:23.225806451,0.0043320999344251,0.1338933306345511,0.2656613703066491,1.8247277609964212,0,9881,9882 days 00:00:00,1000.0,253970.0038053139,25297.00038053139,475070.22845422087,100.0,7126.565195152116,63.54375862317904,4184 days 00:00:00,62,-253.9700038052979,185.13186671304288,-30.41181684552885,28.71761083768315,-10.26331559764844,141 days 23:22:06.315789474,45 days 19:00:00,4084.257642082567,0.8125665854111312,0.357136786108285,1.1650203729010382,-0.4911636753428406,22.469165069272687,1.1133203806689569,1.0464376590330788,-0.0241561558923867,0.0006951996573122,0.175190313642697,252.97000380531236,0.1516596261497589,0.259476058813596,6495,124,14311.765873015873,Mean Total Fees Paid
MA,,SMA,55,63,0,,true,false,1,54,1.5005332314524014,64.15094339622641,2.345992726761797,7.421609797345289,1.32161253994841,-0.8565025137594722,64 days 21:44:09.056603773,0.0076487836166216,0.2370401337792642,0.469690635451505,1.7592193792202253,0,4784,4785 days 00:00:00,1000.0,18987.721313285383,1798.7721313285383,12535.21701636968,100.0,1108.2827140665654,40.997212534172405,1028 days 00:00:00,53,-18.987721313282236,100.06592498984756,-21.548067182677354,15.082503882647524,-6.287358565827131,83 days 02:07:03.529411765,32 days 08:50:31.578947368,339.7492270678991,0.8691282463200698,0.6140968073713624,1.177929182060831,0.9549892415472052,17.727138839683576,1.0279994204344003,1.1458461538461535,-0.0234361182913544,0.0007501520875087,0.189038326052204,17.98772131328536,0.1676971804162657,0.2617653511826953,3441,106,6929.206349206349,"Most Win Rate [%], Median Avg Losing Trade [%], Median Avg Winning Trade [%], Median Total Return [%], Least Max Drawdown Duration, Least Max Drawdown [%], Least Total Trades"
PWR,,SMA,66,78,0,,true,false,1,62,1.463774409994554,59.01639344262295,2.5259878387403036,8.564530344858316,0.9220802198435442,-0.4980892455624209,68 days 22:49:10.819672130,0.0061329646851828,0.1896024464831804,0.3761467889908257,1.6238559063645734,0,6867,6868 days 00:00:00,1000.0,23621.452227979855,2262.1452227979853,4507.066650390574,100.0,766.9578342327342,78.62362324963314,1728 days 00:00:00,61,-23.621452227976988,127.10056655499386,-47.20534950394358,22.234960306445583,-11.120888799827354,84 days 21:20:00,46 days 00:00:00,371.2307160689807,0.6229185786499845,0.2327533031332725,1.134572966865574,0.0107661268765185,25.88279031917125,1.090773173260997,1.0401548137397194,-0.028738250481765,0.0006778642765138,0.1708217976814857,22.621452227979965,0.1230245088192742,0.3300336069258326,4207,122,9946.25,"Most Max Drawdown [%], Mean Best Trade [%], Least Avg Losing Trade [%]"
L,,SMA,38,70,0,,true,false,1,86,1.4264028726784386,58.82352941176471,2.2060892906846914,6.281811554425565,1.0475484489193951,-0.5709352890229681,83 days 18:55:03.529411764,0.0051500598075339,0.1584905660377358,0.3151382185168934,0.9956078690032972,0,11395,11396 days 00:00:00,1000.0,57805.34714047526,5680.534714047526,13239.342618301716,100.0,3695.955355308043,43.71282573545941,1951 days 00:00:00,85,-57.805347140470985,113.90904857340718,-24.33833186236625,14.960446372998726,-6.116238186393238,111 days 23:31:12,43 days 12:20:34.285714285,668.9782645601854,0.7010055643708422,0.3174443503055551,1.1411760789084646,0.2611698325367314,11.02727859887396,1.0879275722927233,1.0489449003516995,-0.0171256550436742,0.0004221500226608,0.1063818057105403,56.80534714047594,0.0938617535164398,0.1826383833428999,7123,170,16504.6626984127,"Median Calmar Ratio, Median Total Trades, Median Worst Trade [%], Least Avg Winning Trade Duration"
MU,,SMA,29,67,0,,true,false,1,78,1.3879305516443554,44.15584415584416,1.8758735447233448,14.507681685117925,1.0170931115799722,5.0477018779947915,72 days 14:38:57.662337662,0.0051463353180654,0.158567279767667,0.3151016456921587,2.3004436205443524,0,10330,10331 days 00:00:00,1000.0,415315.7403909616,41431.57403909616,6850.796364458599,100.0,17713.722758473097,65.42808947645511,2246 days 00:00:00,77,-415.3157403909136,247.7,-34.44224989370056,46.269177339847246,-10.606059065133175,118 days 16:14:07.058823530,36 days 04:27:54.418604651,5386.117612095487,0.6806466483916855,0.3628352621632347,1.1421868935796005,0.1766359211990393,9.219767557839244,1.1318146914947869,1.0091642228739002,-0.0388555864181314,0.0009098302046578,0.2292772115737905,414.3157403909596,0.1584280615831155,0.4054014920874678,5592,154,14962.103174603177,"Most Avg Winning Trade [%], Most Expectancy, Most Total Return [%], Mean Calmar Ratio, Mean Omega Ratio, Mean Profit Factor, Mean Sortino Ratio, Median Sortino Ratio, Least Win Rate [%]"
PLTR,,SMA,18,20,0,,true,false,1,55,1.3705842725458484,53.70370370370371,2.1482292572782136,5.879342801749898,2.0229688107351373,-0.5959146494124611,12 days 04:26:39.999999998,0.0318107438402917,0.985494880546075,1.9530716723549488,5.794062232099941,0,1172,1173 days 00:00:00,1000.0,6212.2753840023315,521.2275384002331,1289.8946661698324,100.0,260.5900100763055,47.518725015063815,831 days 00:00:00,54,-6.212275384001259,167.26296473495725,-18.19160057993752,17.39573318955818,-7.479670048107712,15 days 09:06:12.413793103,8 days 11:31:12,96.63866035900617,1.156961882643622,1.6106570452089728,1.269083199705487,1.8455356553081512,12.366504448189366,1.466410160635303,0.8654353562005277,-0.0508288070358992,0.0021828551607434,0.5500795005073399,5.212275384002346,0.4805293799107992,0.5722062163578655,659,108,1697.5396825396824,"Most Calmar Ratio, Most Max Drawdown Duration, Most Omega Ratio, Most Sharpe Ratio, Most Sortino Ratio, Least Total Fees Paid"
FCX,,SMA,39,46,0,,true,false,1,115,1.3403433644705989,52.63157894736842,1.3795154695583152,5.6665705371270825,0.8465062859032447,7.946413541637882,35 days 04:50:31.578947367,0.0104607721046077,0.3209728867623604,0.6391547049441787,1.8188155033442193,0,7524,7525 days 00:00:00,1000.0,21375.914405130112,2037.591440513011,227.7551144969736,100.0,2194.683365790822,60.74374732274504,2424 days 00:00:00,114,-21.37591440512915,313.3269982886662,-32.393425491391014,19.201497528775505,-9.372237231371162,46 days 20:24:00,22 days 06:13:20,178.92359929416864,0.5734752714654914,0.2636214066347676,1.1187293669741591,0.2115359772356214,7.033025558972515,1.12094029457688,0.9980276134122288,-0.0321389604427888,0.0006199681633971,0.1562319771760816,20.37591440512986,0.1079929913830628,0.3278697844393651,4014,228,10897.857142857143,"Most Best Trade [%], Mean Win Rate [%], Median Max Drawdown [%], Median Total Fees Paid"
EQT,,SMA,39,45,0,,true,false,1,201,1.2533593453968126,52.0,2.072457527557537,3.095622824621294,0.9759343557922496,-0.0656631774348164,32 days 08:38:24,0.0121177877824328,0.3704256252742431,0.7390083369899079,1.1466980204235615,0,11395,11396 days 00:00:00,1000.0,81695.06351289974,8069.506351289973,8636.613859588102,100.0,5386.800053780637,54.692420392916944,1803 days 00:00:00,200,-81.69506351288874,102.88522121339298,-26.660000173981103,10.809710664745392,-5.261305668846479,41 days 03:13:50.769230769,22 days 20:30:00,403.8837928820632,0.6435033863295401,0.2769132890675455,1.139642192158961,0.7390515882424857,15.366192556554402,1.1721400900559151,0.9722747321991178,-0.0206887439365761,0.0004928510595737,0.1241984670125953,80.69506351289975,0.1022609664458038,0.2322798626434915,6473,400,16504.6626984127,"Mean Total Return [%], Mean Worst Trade [%], Median Omega Ratio, Median Sharpe Ratio"
PANW,,SMA,82,83,0,,true,false,1,84,1.171727831226531,55.42168674698795,1.8305518825774785,2.5952299361766595,0.9055635175901512,-0.8491820394113619,24 days 22:15:54.216867469,0.0177192670343355,0.5454545454545454,1.0844155844155845,1.4155799651872687,0,3234,3235 days 00:00:00,1000.0,4168.0289520710685,316.8028952071069,2100.564773390613,100.0,347.5323328137798,46.76870611057178,1973 days 00:00:00,83,-4.168028952070927,104.78754916823549,-20.84868696156556,8.549893300899189,-4.807865057802702,30 days 10:26:05.217391304,18 days 01:56:45.405405405,38.21924073521856,0.6286342272315583,0.373649380226423,1.1275452566672537,-0.5944598474104342,26.609191673217783,1.0823612937406943,1.0417457305502844,-0.0277528171293353,0.0006226165240008,0.1568993640482107,3.1680289520710776,0.1176127766382963,0.3003788302988366,2070,166,4684.166666666667,Median Profit Factor
