Short Window,Long Window,Signal Window,Signal
2,4,2,1
2,4,3,1
2,4,4,1
2,4,5,1
2,4,6,1
2,4,7,1
2,4,8,1
2,4,9,1
2,4,10,1
2,4,11,1
2,4,12,1
2,4,13,1
2,4,14,1
2,4,15,1
2,4,16,1
2,4,17,1
2,4,18,1
2,5,2,1
2,5,3,1
2,5,4,1
2,5,5,1
2,5,6,1
2,5,7,1
2,5,8,1
2,5,9,1
2,5,10,1
2,5,11,1
2,5,12,1
2,5,13,1
2,5,14,1
2,5,15,1
2,5,16,1
2,5,17,1
2,5,18,1
2,6,2,1
2,6,3,1
2,6,4,1
2,6,5,1
2,6,6,1
2,6,7,1
2,6,8,1
2,6,9,1
2,6,10,1
2,6,11,1
2,6,12,1
2,6,13,1
2,6,14,1
2,6,15,1
2,6,16,1
2,6,17,1
2,6,18,1
2,7,2,1
2,7,3,1
2,7,4,1
2,7,5,1
2,7,6,1
2,7,7,1
2,7,8,1
2,7,9,1
2,7,10,1
2,7,11,1
2,7,12,1
2,7,13,1
2,7,14,1
2,7,15,1
2,7,16,1
2,7,17,1
2,7,18,1
2,8,2,1
2,8,3,1
2,8,4,1
2,8,5,1
2,8,6,1
2,8,7,1
2,8,8,1
2,8,9,1
2,8,10,1
2,8,11,1
2,8,12,1
2,8,13,1
2,8,14,1
2,8,15,1
2,8,16,1
2,8,17,1
2,8,18,1
2,9,2,1
2,9,3,1
2,9,4,1
2,9,5,1
2,9,6,1
2,9,7,1
2,9,8,1
2,9,9,1
2,9,10,1
2,9,11,1
2,9,12,1
2,9,13,1
2,9,14,1
2,9,15,1
2,9,16,1
2,9,17,1
2,9,18,1
2,10,2,1
2,10,3,1
2,10,4,1
2,10,5,1
2,10,6,1
2,10,7,1
2,10,8,1
2,10,9,1
2,10,10,1
2,10,11,1
2,10,12,1
2,10,13,1
2,10,14,1
2,10,15,1
2,10,16,1
2,10,17,1
2,10,18,1
2,11,2,1
2,11,3,1
2,11,4,1
2,11,5,1
2,11,6,1
2,11,7,1
2,11,8,1
2,11,9,1
2,11,10,1
2,11,11,1
2,11,12,1
2,11,13,1
2,11,14,1
2,11,15,1
2,11,16,1
2,11,17,1
2,11,18,1
2,12,2,1
2,12,3,1
2,12,4,1
2,12,5,1
2,12,6,1
2,12,7,1
2,12,8,1
2,12,9,1
2,12,10,1
2,12,11,1
2,12,12,1
2,12,13,1
2,12,14,1
2,12,15,1
2,12,16,1
